category,option,score
acute_toxicity,Category 1,1
acute_toxicity,Category 2,2
acute_toxicity,Category 3 or Higher,3
aquatic_toxicity,Category 1,1
aquatic_toxicity,Category 2,2
aquatic_toxicity,Category 3 or Higher,3
sensitization_skin,Yes,1
sensitization_skin,No,3
mutagenicity,Yes,1
mutagenicity,No,3
carcinogenicity,Yes,1
carcinogenicity,No,3
reproductive_toxicity,Yes,1
reproductive_toxicity,No,3
ca_sb_258,Yes,1
ca_sb_258,No,3
reach_svh,Yes,1
reach_svh,No,3
readily_biodegradable,Yes,3
readily_biodegradable,No,1
readily_biodegradable,N/A,2
voc,Yes,1
voc,No,3
palm_kernel_oil_derived,Not RSPO certified,1
palm_kernel_oil_derived,RSPO certified,2
palm_kernel_oil_derived,No,3
palm_kernel_oil_derived,N/A,3
biobased,NA or 0-33%,1
biobased,34-66%,2
biobased,67-100%,3
biobased,Inorganic,3
from_renewable_sources,Yes,3
from_renewable_sources,No,1
safer_choice_or_clean_gredients,Yes,3
safer_choice_or_clean_gredients,No,1
safer_choice_or_clean_gredients,N/A,2
